id,cod_dep,departamento,cod_mun,municipio,centro_salud,puesto_de_salud,hospital_basico,hospital_general,instituto_especializado,total_establecimientos_de_salud
1,1,CHUQUISACA,10101,SUCRE,101,10,8,3,5,127
2,1,CHUQUISACA,10102,YOTALA,1,9,,,,10
3,1,CHUQUISACA,10103,POROMA,8,10,,,,18
4,1,CHUQUISACA,10201,AZURDUY,5,6,,,,11
5,1,CHUQUISACA,10202,TARVITA,10,2,,,,12
6,1,CHUQUISACA,10301,ZUDAÑEZ,2,4,,,,6
7,1,CHUQUISACA,10302,PRESTO,3,3,,,,6
8,1,CHUQUISACA,10303,MOJOCOYA,5,3,,,,8
9,1,CHUQUISACA,10304,ICLA,6,4,,,,10
10,1,CHUQUISACA,10401,PADILLA,3,4,1,,,8
11,1,CHUQUISACA,10402,TOMINA,3,7,,,,10
12,1,CHUQUISACA,10403,SOPACHUY,2,2,1,,,5
13,1,CHUQUISACA,10404,ALCALA,2,1,,,,3
14,1,CHUQUISACA,10405,EL VILLAR,2,3,,,,5
15,1,CHUQUISACA,10501,MONTEAGUDO,8,10,1,,,19
16,1,CHUQUISACA,10502,HUACARETA,5,9,,,,14
17,1,CHUQUISACA,10601,TARABUCO,6,4,1,,,11
18,1,CHUQUISACA,10602,YAMPARAEZ,2,7,,,,9
19,1,CHUQUISACA,10701,CAMARGO,3,5,1,,,9
20,1,CHUQUISACA,10702,SAN LUCAS,9,19,,,,28
21,1,CHUQUISACA,10703,INCAHUASI,2,6,,,,8
22,1,CHUQUISACA,10704,VILLA CHARCAS,2,6,,,,8
23,1,CHUQUISACA,10801,VILLA SERRANO,5,3,,,,8
24,1,CHUQUISACA,10901,CAMATAQUI (C. VILLA ABECIA),1,3,,,,4
25,1,CHUQUISACA,10902,CULPINA,3,9,,,,12
26,1,CHUQUISACA,10903,LAS CARRERAS,1,5,,,,6
27,1,CHUQUISACA,11001,VILLA VACA GUZMAN (MUYUPAMPA),3,9,,,,12
28,1,CHUQUISACA,11002,HUACAYA (VILLA DE HUACAYA),2,4,,,,6
29,1,CHUQUISACA,11003,MACHARETI,4,7,,,,11
30,2,LA PAZ,20101,LA PAZ,112,1,20,5,10,148
31,2,LA PAZ,20102,PALCA,5,5,,,,10
32,2,LA PAZ,20103,MECAPACA,3,4,,,,7
33,2,LA PAZ,20104,ACHOCALLA,2,1,,,,3
34,2,LA PAZ,20105,EL ALTO,79,,9,1,,89
35,2,LA PAZ,20201,ACHACACHI,5,14,1,,,20
36,2,LA PAZ,20202,ANCORAIMES,1,5,1,,,7
37,2,LA PAZ,20203,HUARINA,1,1,,,,2
38,2,LA PAZ,20204,SANTIAGO DE HUATA,1,2,,,,3
39,2,LA PAZ,20205,HUATAJATA,,,,,,0
40,2,LA PAZ,20206,CHUA COCANI,,,,,,0
41,2,LA PAZ,20301,CORO CORO,2,5,,,,7
42,2,LA PAZ,20302,CAQUIAVIRI,2,5,,,,7
43,2,LA PAZ,20303,CALACOTO,1,6,,,,7
44,2,LA PAZ,20304,COMANCHE,1,2,,,,3
45,2,LA PAZ,20305,CHARAÑA,1,1,,,,2
46,2,LA PAZ,20306,WALDO BALLIVIAN,1,,,,,1
47,2,LA PAZ,20307,NAZACARA DE PACAJES,,1,,,,1
48,2,LA PAZ,20308,SANTIAGO DE CALLAPA,1,4,,,,5
49,2,LA PAZ,20401,PUERTO ACOSTA,1,4,,,,5
50,2,LA PAZ,20402,MOCOMOCO,3,7,,,,10
51,2,LA PAZ,20403,PUERTO CARABUCO,4,8,,,,12
52,2,LA PAZ,20404,HUMANATA,1,1,,,,2
53,2,LA PAZ,20405,ESCOMA,,1,1,,,2
54,2,LA PAZ,20501,CHUMA,3,4,,,,7
55,2,LA PAZ,20502,AYATA,3,2,,,,5
56,2,LA PAZ,20503,AUCAPATA,1,5,,,,6
57,2,LA PAZ,20601,SORATA,1,7,1,,,9
58,2,LA PAZ,20602,GUANAY,1,4,1,,,6
59,2,LA PAZ,20603,TACACOMA,2,2,,,,4
60,2,LA PAZ,20604,QUIABAYA,1,,,,,1
61,2,LA PAZ,20605,COMBAYA,1,3,,,,4
62,2,LA PAZ,20606,TIPUANI,4,,,,,4
63,2,LA PAZ,20607,MAPIRI,2,2,,,,4
64,2,LA PAZ,20608,TEOPONTE,3,4,,,,7
65,2,LA PAZ,20701,APOLO,2,4,1,,,7
66,2,LA PAZ,20702,PELECHUCO,2,4,,,,6
67,2,LA PAZ,20801,VIACHA,7,5,,,,12
68,2,LA PAZ,20802,GUAQUI,1,3,,,,4
69,2,LA PAZ,20803,TIAWANACU,1,4,,,,5
70,2,LA PAZ,20804,DESAGUADERO,1,1,,,,2
71,2,LA PAZ,20805,SAN ANDRES DE MACHACA,2,3,,,,5
72,2,LA PAZ,20806,JESUS DE MACHACA,4,3,,,,7
73,2,LA PAZ,20807,TARACO,1,3,,,,4
74,2,LA PAZ,20901,LURIBAY,4,5,,,,9
75,2,LA PAZ,20902,SAPAHAQUI,2,2,,,,4
76,2,LA PAZ,20903,YACO,2,7,,,,9
77,2,LA PAZ,20904,MALLA,2,2,,,,4
78,2,LA PAZ,20905,CAIROMA,5,5,,,,10
79,2,LA PAZ,21001,INQUISIVI,3,7,,,,10
80,2,LA PAZ,21002,QUIME,4,1,,,,5
81,2,LA PAZ,21003,CAJUATA,2,3,,,,5
82,2,LA PAZ,21004,COLQUIRI,4,6,,,,10
83,2,LA PAZ,21005,ICHOCA,1,3,,,,4
84,2,LA PAZ,21006,LICOMA PAMPA,1,1,,,,2
85,2,LA PAZ,21101,CHULUMANI (V. DE LA LIBERTAD),1,4,1,,,6
86,2,LA PAZ,21102,IRUPANA (VILLA DE LANZA),1,8,1,,,10
87,2,LA PAZ,21103,YANACACHI,1,3,,,,4
88,2,LA PAZ,21104,PALOS BLANCOS,6,8,1,,,15
89,2,LA PAZ,21105,LA ASUNTA,3,6,,,,9
90,2,LA PAZ,21201,PUCARANI,4,4,1,,,9
91,2,LA PAZ,21202,LAJA,2,6,,,,8
92,2,LA PAZ,21203,BATALLAS,,4,1,,,5
93,2,LA PAZ,21204,PUERTO PEREZ,1,4,,,,5
94,2,LA PAZ,21301,SICA SICA (VILLA AROMA),4,6,,,,10
95,2,LA PAZ,21302,UMALA,3,4,,,,7
96,2,LA PAZ,21303,AYO AYO,2,1,,,,3
97,2,LA PAZ,21304,CALAMARCA,1,4,,,,5
98,2,LA PAZ,21305,PATACAMAYA,,3,1,,,4
99,2,LA PAZ,21306,COLQUENCHA,1,3,,,,4
100,2,LA PAZ,21307,COLLANA,1,2,,,,3
101,2,LA PAZ,21401,COROICO,2,3,1,,,6
102,2,LA PAZ,21402,CORIPATA,2,3,1,,,6
103,2,LA PAZ,21501,IXIAMAS,4,4,,,,8
104,2,LA PAZ,21502,SAN BUENA VENTURA,2,4,,,,6
105,2,LA PAZ,21601,GRAL. J.J. PEREZ  (CHARAZANI),5,3,,,,8
106,2,LA PAZ,21602,CURVA,1,2,,,,3
107,2,LA PAZ,21701,COPACABANA,,2,1,,,3
108,2,LA PAZ,21702,SAN PEDRO DE TIQUINA,2,2,,,,4
109,2,LA PAZ,21703,TITO YUPANQUI (PARQUIPUJIO),1,1,,,,2
110,2,LA PAZ,21801,SAN PEDRO DE CURAHUARA,3,3,,,,6
111,2,LA PAZ,21802,PAPEL PAMPA,2,4,,,,6
112,2,LA PAZ,21803,CHACARILLA,1,1,,,,2
113,2,LA PAZ,21901,SANTIAGO DE MACHACA,1,3,,,,4
114,2,LA PAZ,21902,CATACORA,1,1,,,,2
115,2,LA PAZ,22001,CARANAVI,6,10,1,,,17
